Time,Stage 1 Speed,Stage 2 Speed,Stage 1 Altitude,Stage 2 Altitude,Stage 1 LOX,Stage 2 LOX,Stage 1 CH4,Stage 2 CH4,Stage 1 Pitch,Stage 2 Pitch,Stage 1 Engines,Stage 2 Engines,Stage 1 Center Engines,Stage 2 Center Engines,Stage 1 Middle Engines,Stage 1 Outer Engines,Stage 2 Outer Engines
2.00,,,,,,,,,,,,,,,,,,
2.03,,,,,,,,,,,,,,,,,,
2.07,,,,,,,,,,,,,,,,,,
2.10,,,,,,,,,,,,,,,,,,
2.13,,,,,,,,,,,,,,,,,,
2.17,,,,,,,,,,,,,,,,,,
2.20,,,,,,,,,,,,,,,,,,
2.24,,,,,,,,,,,,,,,,,,
2.27,,,,,,,,,,,,,,,,,,
2.30,,,,,,,,,,,,,,,,,,
2.33,,,,,,,,,,,,,,,,,,
2.37,,,,,,,,,,,,,,,,,,
2.40,,,,,,,,,,,,,,,,,,
2.43,,,,,,,,,,,,,,,,,,
2.47,,,,,,,,,,,,,,,,,,
2.50,,,,,,,,,,,,,,,,,,
2.54,,,,,,,,,,,,,,,,,,
3.00,,,,,,,,,,,,,,,,,,
3.03,,,,,,,,,,,,,,,,,,
3.07,,,,,,,,,,,,,,,,,,
3.10,,,,,,,,,,,,,,,,,,
3.13,,,,,,,,,,,,,,,,,,
3.17,,,,,,,,,,,,,,,,,,
3.20,,,,,,,,,,,,,,,,,,
3.23,,,,,,,,,,,,,,,,,,
3.27,,,,,,,,,,,,,,,,,,
3.30,,,,,,,,,,,,,,,,,,
3.33,,,,,,,,,,,,,,,,,,
3.37,,,,,,,,,,,,,,,,,,
3.40,,,,,,,,,,,,,,,,,,
3.43,,,,,,,,,,,,,,,,,,
3.47,,,,,,,,,,,,,,,,,,
3.50,,,,,,,,,,,,,,,,,,
3.53,,,,,,,,,,,,,,,,,,
3.57,,,,,,,,,,,,,,,,,,
3.60,,,,,,,,,,,,,,,,,,
3.63,,,,,,,,,,,,,,,,,,
3.67,,,,,,,,,,,,,,,,,,
3.70,,,,,,,,,,,,,,,,,,
3.73,,,,,,,,,,,,,,,,,,
3.77,,,,,,,,,,,,,,,,,,
3.80,,,,,,,,,,,,,,,,,,
3.83,,,,,,,,,,,,,,,,,,
3.87,,,,,,,,,,,,,,,,,,
3.90,,,,,,,,,,,,,,,,,,
3.93,,,,,,,,,,,,,,,,,,
3.97,,,,,,,,,,,,,,,,,,
4.00,,,,,,,,,,,,,,,,,,
4.03,,,,,,,,,,,,,,,,,,
4.07,,,,,,,,,,,,,,,,,,
4.10,,,,,,,,,,,,,,,,,,
4.13,,,,,,,,,,,,,,,,,,
4.17,,,,,,,,,,,,,,,,,,
4.20,,,,,,,,,,,,,,,,,,
4.23,,,,,,,,,,,,,,,,,,
4.27,,,,,,,,,,,,,,,,,,
4.30,,,,,,,,,,,,,,,,,,
4.33,,,,,,,,,,,,,,,,,,
4.37,,,,,,,,,,,,,,,,,,
4.40,,,,,,,,,,,,,,,,,,
4.43,,,,,,,,,,,,,,,,,,
4.47,,,,,,,,,,,,,,,,,,
4.50,,,,,,,,,,,,,,,,,,
4.53,,,,,,,,,,,,,,,,,,
4.57,,,,,,,,,,,,,,,,,,
4.60,,,,,,,,,,,,,,,,,,
4.63,,,,,,,,,,,,,,,,,,
4.67,,,,,,,,,,,,,,,,,,
4.70,,,,,,,,,,,,,,,,,,
4.73,,,,,,,,,,,,,,,,,,
4.77,,,,,,,,,,,,,,,,,,
4.80,,,,,,,,,,,,,,,,,,
4.83,,,,,,,,,,,,,,,,,,
4.87,,,,,,,,,,,,,,,,,,
4.90,,,,,,,,,,,,,,,,,,
4.93,,,,,,,,,,,,,,,,,,
4.97,,,,,,,,,,,,,,,,,,
5.00,,,,,,,,,,,,,,,,,,
5.03,,,,,,,,,,,,,,,,,,
5.07,,,,,,,,,,,,,,,,,,
5.10,,,,,,,,,,,,,,,,,,
5.13,,,,,,,,,,,,,,,,,,
5.17,,,,,,,,,,,,,,,,,,
5.20,,,,,,,,,,,,,,,,,,
5.23,,,,,,,,,,,,,,,,,,
5.27,,,,,,,,,,,,,,,,,,
5.30,,,,,,,,,,,,,,,,,,
5.33,,,,,,,,,,,,,,,,,,
5.37,,,,,,,,,,,,,,,,,,
5.40,,,,,,,,,,,,,,,,,,
5.43,,,,,,,,,,,,,,,,,,
5.47,,,,,,,,,,,,,,,,,,
5.50,,,,,,,,,,,,,,,,,,
5.53,,,,,,,,,,,,,,,,,,
5.57,,,,,,,,,,,,,,,,,,
5.60,,,,,,,,,,,,,,,,,,
5.63,,,,,,,,,,,,,,,,,,
5.67,,,,,,,,,,,,,,,,,,
5.70,,,,,,,,,,,,,,,,,,
5.73,,,,,,,,,,,,,,,,,,
5.77,,,,,,,,,,,,,,,,,,
5.80,,,,,,,,,,,,,,,,,,
5.83,,,,,,,,,,,,,,,,,,
5.87,,,,,,,,,,,,,,,,,,
5.90,,,,,,,,,,,,,,,,,,
5.93,,,,,,,,,,,,,,,,,,
5.97,,,,,,,,,,,,,,,,,,
6.00,,,,,,,,,,,,,,,,,,
6.03,,,,,,,,,,,,,,,,,,
6.07,,,,,,,,,,,,,,,,,,
6.10,,,,,,,,,,,,,,,,,,
6.13,,,,,,,,,,,,,,,,,,
6.17,,,,,,,,,,,,,,,,,,
6.20,,,,,,,,,,,,,,,,,,
6.23,,,,,,,,,,,,,,,,,,
6.27,,,,,,,,,,,,,,,,,,
6.30,,,,,,,,,,,,,,,,,,
6.33,,,,,,,,,,,,,,,,,,
6.37,,,,,,,,,,,,,,,,,,
6.40,,,,,,,,,,,,,,,,,,
6.43,,,,,,,,,,,,,,,,,,
6.47,,,,,,,,,,,,,,,,,,
6.50,,,,,,,,,,,,,,,,,,
6.54,,,,,,,,,,,,,,,,,,
6.57,,,,,,,,,,,,,,,,,,
6.60,,,,,,,,,,,,,,,,,,
6.63,,,,,,,,,,,,,,,,,,
6.67,,,,,,,,,,,,,,,,,,
6.70,,,,,,,,,,,,,,,,,,
6.73,,,,,,,,,,,,,,,,,,
6.77,,,,,,,,,,,,,,,,,,
6.80,,,,,,,,,,,,,,,,,,
6.84,,,,,,,,,,,,,,,,,,
6.87,,,,,,,,,,,,,,,,,,
6.90,,,,,,,,,,,,,,,,,,
6.93,,,,,,,,,,,,,,,,,,
6.97,,,,,,,,,,,,,,,,,,
7.00,,,,,,,,,,,,,,,,,,
7.03,,,,,,,,,,,,,,,,,,
7.07,,,,,,,,,,,,,,,,,,
7.10,,,,,,,,,,,,,,,,,,
7.13,,,,,,,,,,,,,,,,,,
7.17,,,,,,,,,,,,,,,,,,
7.20,,,,,,,,,,,,,,,,,,
7.23,,,,,,,,,,,,,,,,,,
7.27,,,,,,,,,,,,,,,,,,
7.30,,,,,,,,,,,,,,,,,,
7.33,,,,,,,,,,,,,,,,,,
7.37,,,,,,,,,,,,,,,,,,
7.40,,,,,,,,,,,,,,,,,,
7.43,,,,,,,,,,,,,,,,,,
7.47,,,,,,,,,,,,,,,,,,
7.50,,,,,,,,,,,,,,,,,,
7.53,,,,,,,,,,,,,,,,,,
7.57,,,,,,,,,,,,,,,,,,
7.60,,,,,,,,,,,,,,,,,,
7.63,,,,,,,,,,,,,,,,,,
7.67,,,,,,,,,,,,,,,,,,
7.70,,,,,,,,,,,,,,,,,,
7.73,,,,,,,,,,,,,,,,,,
7.77,,,,,,,,,,,,,,,,,,
7.80,,,,,,,,,,,,,,,,,,
7.83,,,,,,,,,,,,,,,,,,
7.87,,,,,,,,,,,,,,,,,,
7.90,,,,,,,,,,,,,,,,,,
7.93,,,,,,,,,,,,,,,,,,
7.97,,,,,,,,,,,,,,,,,,
8.00,,,,,,,,,,,,,,,,,,
8.03,,,,,,,,,,,,,,,,,,
8.07,,,,,,,,,,,,,,,,,,
8.10,,,,,,,,,,,,,,,,,,
8.13,,,,,,,,,,,,,,,,,,
8.17,,,,,,,,,,,,,,,,,,
8.20,,,,,,,,,,,,,,,,,,
8.23,,,,,,,,,,,,,,,,,,
8.27,,,,,,,,,,,,,,,,,,
8.30,,,,,,,,,,,,,,,,,,
8.33,,,,,,,,,,,,,,,,,,
