Time,Stage 1 Speed,Stage 2 Speed,Stage 1 Altitude,Stage 2 Altitude,Stage 1 LOX,Stage 2 LOX,Stage 1 CH4,Stage 2 CH4,Stage 1 Pitch,Stage 2 Pitch,Stage 1 Engines,Stage 2 Engines,Stage 1 Center Engines,Stage 2 Center Engines,Stage 1 Middle Engines,Stage 1 Outer Engines,Stage 2 Outer Engines
-2.00,,,,,,,,,,,13.00,,3.00,,10.00,.00,,
-1.97,,,,,,,,,,,13.00,,3.00,,10.00,.00,,
-1.93,,,,,,,,,,,13.00,,3.00,,10.00,.00,,
-1.90,,,,,,,,,,,,,,,,,,
-1.87,,,,,,,,,,,13.00,,3.00,,10.00,.00,,
-1.83,,,,,,,,,,,13.00,,3.00,,10.00,.00,,
-1.80,,,,,,,,,,,13.00,,3.00,,10.00,.00,,
-1.77,,,,,,,,,,,13.00,,3.00,,10.00,.00,,
-1.73,,,,,,,,,,,13.00,,3.00,,10.00,.00,,
-1.70,,,.00,,,,,,,,13.00,,3.00,,10.00,.00,,
-1.67,.00,,.00,,92.10,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.64,.00,,.00,,92.10,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.60,.00,,.00,,92.10,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.57,.00,,.00,,92.10,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.53,,,.00,,,,,,,,,,,,,,,
-1.50,.00,,.00,,92.10,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.47,.00,,.00,,92.10,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.43,.00,,.00,,92.10,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.40,.00,,.00,,92.10,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.37,.00,,.00,,92.10,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.33,.00,,.00,,92.10,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.30,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.26,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.23,.00,,.00,,91.70,,95.00,,-1.00,,28.00,,3.00,,10.00,15.00,,
-1.20,.00,,.00,,91.70,,95.00,,-1.00,,28.00,,3.00,,10.00,15.00,,
-1.16,.00,,.00,,91.70,,95.00,,-1.00,,28.00,,3.00,,10.00,15.00,,
-1.13,.00,,.00,,91.70,,95.00,,-1.00,,28.00,,3.00,,10.00,15.00,,
-1.10,,,.00,,,,,,,,,,,,,,,
-1.07,,,.00,,,,,,,,,,,,,,,
-1.03,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.00,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-1.00,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-0.97,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-0.97,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-0.93,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-0.93,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-0.90,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-0.87,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-0.84,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-0.80,.00,,.00,,91.70,,95.00,,,,28.00,,3.00,,10.00,15.00,,
-0.77,.00,,.00,,91.70,,95.00,,,,33.00,,3.00,,10.00,20.00,,
-0.73,.00,,.00,,91.70,,95.00,,,,33.00,,3.00,,10.00,20.00,,
-0.70,.00,,.00,,91.70,,95.00,,,,33.00,,3.00,,10.00,20.00,,
-0.67,.00,,.00,,91.70,,95.00,,-2.00,,33.00,,3.00,,10.00,20.00,,
-0.63,.00,,.00,,91.70,,95.00,,,,33.00,,3.00,,10.00,20.00,,
-0.60,.00,,.00,,91.70,,95.00,,,,33.00,,3.00,,10.00,20.00,,
-0.57,.00,,.00,,91.70,,95.00,,-2.00,,33.00,,3.00,,10.00,20.00,,
-0.53,.00,,.00,,91.70,,95.00,,,,33.00,,3.00,,10.00,20.00,,
-0.50,.00,,.00,,91.70,,95.00,,,,33.00,,3.00,,10.00,20.00,,
-0.46,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.43,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.40,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.37,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.33,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.30,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.26,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.23,.00,,.00,,91.70,,94.60,,-2.00,,33.00,,3.00,,10.00,20.00,,
-0.20,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.17,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.13,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.10,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.07,.00,,.00,,91.70,,94.60,,,,33.00,,3.00,,10.00,20.00,,
-0.03,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.00,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.03,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.07,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.10,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.13,,,.00,,,,,,,,,,,,,,,
0.17,,,.00,,,,,,,,,,,,,,,
0.20,,,.00,,,,,,,,,,,,,,,
0.23,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.27,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.30,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.33,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.37,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.40,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.43,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.47,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.50,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
0.54,.00,,.00,,91.30,,94.60,,,,33.00,,3.00,,10.00,20.00,,
